theta,R,Dstar,size,members,classification
-3.142,0.0,0.0,1,A047250,Predictable
-3.142,0.0,0.034,1,A047492,Predictable
-3.142,0.0,0.111,1,A000030,Predictable
-3.142,0.004,0.185,1,A010412,Unpredictable
-3.142,0.005,0.04,1,A047590,Predictable
-3.142,0.009,0.043,1,A047575,Predictable
-3.142,0.014,0.069,1,A058224,Unpredictable
-3.142,0.039,0.052,1,A028902,Unpredictable
-3.142,0.1,0.103,1,A019991,Unpredictable
-3.142,0.392,0.197,1,A055615,Predictable
-3.142,0.597,0.206,1,A055017,Predictable
-3.142,0.783,0.263,2,A053222|A053246,Predictable
-3.142,0.809,0.496,1,A009393,Unpredictable
-3.142,0.884,0.42,1,A055651,Unpredictable
-3.142,0.935,0.413,1,A007428,Predictable
-3.141,0.231,0.155,1,A044855,Unpredictable
-3.141,0.5,0.25,2,A009001|A009531,Predictable
-3.141,0.685,0.248,1,A004718,Predictable
-3.141,0.854,0.303,1,A030189,Unpredictable
-3.141,0.854,0.346,1,A003406,Predictable
-3.141,0.866,0.304,1,A030188,Predictable
-3.141,0.873,0.44,1,A015624,Unpredictable
-3.141,0.91,0.463,1,A016253,Unpredictable
-3.141,0.98,0.5,1,A002448,Predictable
-3.14,0.0,0.0,1,A052938,Predictable
-3.14,0.0,0.001,1,A056088,Unpredictable
-3.14,0.001,0.001,1,A058207,Predictable
-3.14,0.003,0.004,1,A024706,Unpredictable
-3.14,0.746,0.4,1,A016004,Unpredictable
-3.14,0.847,0.435,1,A015491,Unpredictable
-3.14,0.906,0.455,1,A015964,Unpredictable
-3.139,0.062,0.093,1,A031483,Unpredictable
-3.139,0.214,0.068,1,A046730,Unpredictable
-3.139,0.753,0.293,1,A053825,Predictable
-3.138,0.698,0.259,1,A002173,Predictable
-3.138,0.829,0.366,1,A015794,Unpredictable
-3.138,0.992,0.482,1,A008310,Predictable
-3.138,0.996,0.49,2,A039991|A053120,Predictable
-3.138,0.996,0.496,1,A048594,Predictable
-3.137,0.0,0.0,1,A056024,Predictable
-3.137,0.396,0.125,1,A037161,Unpredictable
-3.137,0.552,0.306,1,A016319,Unpredictable
-3.137,0.775,0.314,1,A050459,Predictable
-3.136,0.012,0.054,1,A043692,Unpredictable
-3.136,0.089,0.158,1,A037305,Unpredictable
-3.136,0.793,0.32,1,A053826,Predictable
-3.135,0.001,0.001,1,A047700,Predictable
-3.135,0.114,0.049,1,A028900,Unpredictable
-3.135,0.184,0.137,1,A031844,Unpredictable
-3.135,0.535,0.168,1,A002070,Predictable
-3.135,0.592,0.34,1,A015374,Unpredictable
-3.135,0.854,0.43,1,A014944,Unpredictable
-3.135,0.887,0.447,1,A015776,Unpredictable
-3.135,0.959,0.443,1,A053256,Predictable
-3.134,0.966,0.452,1,A053284,Predictable
-3.134,0.999,0.499,1,A049444,Predictable
-3.132,0.0,0.001,1,A010764,Predictable
-3.132,0.974,0.462,2,A000025|A053269,Predictable
-3.131,0.008,0.009,1,A005108,Unpredictable
-3.131,0.03,0.03,1,A043667,Unpredictable
-3.131,0.677,0.255,1,A053735,Predictable
-3.131,0.717,0.253,1,A053822,Predictable
-3.131,0.988,0.482,2,A053124|A053125,Predictable
-3.13,0.0,0.0,1,A049474,Unpredictable
-3.13,0.0,0.003,1,A029926,Predictable
-3.13,0.546,0.289,1,A016154,Unpredictable
-3.129,0.171,0.067,1,A028899,Predictable
-3.129,0.396,0.128,1,A051125,Predictable
-3.129,0.979,0.469,2,A058614|A058618,Predictable
-3.128,0.001,0.046,1,A046116,Predictable
-3.128,0.129,0.158,1,A049823,Unpredictable
-3.128,0.178,0.175,1,A021108,Predictable
-3.128,0.195,0.108,1,A049468,Predictable
-3.128,0.662,0.246,1,A053737,Predictable
-3.128,0.841,0.427,1,A014750,Unpredictable
-3.127,0.163,0.202,1,A019511,Unpredictable
-3.127,0.554,0.196,1,A002408,Predictable
-3.127,0.964,0.45,1,A058688,Predictable
-3.126,0.037,0.068,1,A031481,Unpredictable
-3.126,0.399,0.127,1,A038760,Predictable
-3.126,0.595,0.207,1,A053831,Predictable
-3.125,0.014,0.066,1,A039096,Unpredictable
-3.123,0.338,0.181,1,A058030,Unpredictable
-3.123,0.451,0.333,1,A049298,Unpredictable
-3.123,0.986,0.479,1,A058503,Predictable
-3.122,0.395,0.238,1,A045301,Unpredictable
-3.122,0.892,0.384,1,A058755,Predictable
-3.121,0.093,0.112,1,A045072,Unpredictable
-3.121,0.95,0.437,1,A058672,Predictable
-3.12,0.976,0.466,1,A058559,Predictable
-3.119,0.022,0.021,2,A025292|A025310,Unpredictable
-3.119,0.756,0.366,1,A005762,Predictable
-3.119,0.913,0.436,1,A056588,Predictable
-3.119,0.977,0.468,1,A058533,Predictable
-3.118,0.069,0.138,1,A039413,Unpredictable
-3.117,0.056,0.054,1,A046510,Unpredictable
-3.116,0.088,0.183,1,A021143,Predictable
-3.116,0.212,0.333,1,A021278,Unpredictable
-3.116,0.897,0.389,1,A058745,Predictable
-3.115,0.262,0.096,1,A028898,Predictable
-3.112,0.004,0.004,1,A008536,Unpredictable
-3.112,0.989,0.478,1,A029840,Predictable
-3.112,0.997,0.496,1,A028297,Predictable
-3.111,0.894,0.362,1,A053250,Predictable
-3.111,0.966,0.455,1,A058553,Predictable
-3.111,0.983,0.477,1,A058098,Predictable
-3.11,0.039,0.061,1,A028790,Unpredictable
-3.11,0.097,0.133,1,A037991,Unpredictable
-3.11,0.386,0.126,1,A051162,Predictable
-3.11,0.414,0.209,1,A039418,Unpredictable
-3.11,0.851,0.323,1,A053252,Predictable
-3.11,0.995,0.503,1,A002483,Predictable
-3.109,0.1,0.071,1,A039308,Unpredictable
-3.109,0.702,0.258,1,A050223,Predictable
-3.109,0.935,0.36,1,A047639,Predictable
-3.108,0.071,0.115,1,A037404,Unpredictable
-3.108,0.618,0.391,1,A020933,Predictable
-3.108,0.781,0.313,1,A002614,Predictable
-3.107,0.599,0.2,1,A023900,Predictable
-3.107,0.819,0.348,1,A050456,Predictable
-3.107,0.992,0.491,1,A029841,Predictable
-3.105,0.114,0.098,1,A036576,Predictable
-3.103,0.008,0.008,1,A003335,Unpredictable
-3.103,0.078,0.126,1,A031946,Unpredictable
-3.103,0.127,0.085,1,A037439,Unpredictable
-3.103,0.991,0.484,1,A029842,Predictable
-3.102,0.24,0.16,1,A020436,Unpredictable
-3.102,0.933,0.422,1,A058612,Predictable
-3.101,0.576,0.204,1,A053832,Predictable
-3.101,0.849,0.314,1,A051950,Predictable
-3.101,0.935,0.425,1,A058608,Predictable
-3.101,0.966,0.422,1,A030220,Predictable
-3.1,0.005,0.004,1,A053477,Unpredictable
-3.1,0.013,0.01,1,A053339,Predictable
-3.099,0.008,0.008,1,A003334,Predictable
-3.099,0.988,0.485,1,A029843,Predictable
-3.098,0.01,0.037,1,A050099,Unpredictable
-3.098,0.805,0.35,1,A005760,Unpredictable
-3.097,0.123,0.347,1,A021158,Unpredictable
-3.097,0.94,0.431,1,A053273,Predictable
-3.097,0.942,0.368,1,A010819,Predictable
-3.096,0.029,0.038,1,A039562,Unpredictable
-3.096,0.257,0.116,1,A011542,Predictable
-3.096,0.942,0.433,1,A058568,Predictable
-3.096,0.993,0.488,1,A029844,Predictable
-3.094,0.415,0.145,1,A028897,Predictable
-3.094,0.839,0.303,1,A036265,Predictable
-3.094,0.999,0.506,1,A051339,Predictable
-3.093,0.982,0.465,1,A058487,Predictable
-3.092,0.777,0.329,1,A050313,Unpredictable
-3.092,0.995,0.497,2,A005798|A029845,Predictable
-3.09,0.009,0.009,1,A003333,Predictable
-3.088,0.91,0.364,1,A002470,Predictable
-3.087,0.54,0.192,1,A053835,Predictable
-3.086,0.008,0.021,1,A030059,Predictable
-3.086,0.999,0.508,1,A039814,Predictable
-3.085,0.004,0.006,1,A007843,Predictable
-3.082,0.947,0.384,1,A047647,Predictable
-3.081,0.711,0.277,1,A035036,Predictable
-3.081,0.971,0.441,1,A002607,Predictable
-3.079,0.957,0.451,1,A058491,Predictable
-3.077,0.015,0.011,1,A054999,Predictable
-3.076,0.146,0.141,1,A054249,Unpredictable
-3.075,0.002,0.003,1,A055938,Predictable
-3.074,0.386,0.134,1,A008935,Predictable
-3.074,0.604,0.263,1,A055736,Predictable
-3.073,0.01,0.01,1,A003332,Predictable
-3.073,0.077,0.087,2,A037989|A044848,Unpredictable
-3.072,0.002,0.002,1,A024707,Predictable
-3.072,0.055,0.036,1,A058899,Unpredictable
-3.072,0.215,0.195,1,A036786,Predictable
-3.072,0.55,0.196,1,A043269,Unpredictable
-3.072,0.845,0.31,1,A036270,Unpredictable
-3.072,0.992,0.496,1,A007191,Predictable
-3.071,0.888,0.332,1,A000730,Predictable
-3.07,0.035,0.287,1,A046416,Unpredictable
-3.069,0.033,0.158,1,A021621,Unpredictable
-3.069,0.982,0.471,1,A007325,Predictable
-3.067,0.001,0.001,1,A036742,Unpredictable
-3.066,0.409,0.333,1,A032545,Predictable
-3.066,0.869,0.334,1,A005590,Predictable
-3.064,0.011,0.011,1,A055262,Predictable
-3.064,0.42,0.233,1,A053610,Predictable
-3.064,0.637,0.237,1,A030205,Predictable
-3.063,0.207,0.078,1,A002172,Unpredictable
-3.063,0.293,0.096,1,A055593,Unpredictable
-3.062,0.659,0.243,1,A004159,Predictable
-3.061,0.644,0.235,1,A053830,Predictable
-3.061,0.913,0.456,1,A003264,Unpredictable
-3.061,0.994,0.507,1,A003272,Unpredictable
-3.06,0.054,0.125,1,A020429,Unpredictable
-3.059,0.026,0.023,1,A032692,Unpredictable
-3.059,0.903,0.41,1,A055136,Predictable
-3.058,0.913,0.455,1,A003245,Unpredictable
-3.058,0.993,0.508,1,A056223,Unpredictable
-3.056,0.995,0.498,1,A002507,Predictable
-3.055,0.002,0.003,1,A020645,Unpredictable
-3.055,0.038,0.026,1,A035700,Unpredictable
-3.054,0.959,0.403,1,A034777,Unpredictable
-3.053,0.004,0.004,1,A048195,Predictable
-3.052,0.013,0.013,1,A003331,Predictable
-3.052,0.227,0.148,1,A039333,Unpredictable
-3.052,0.579,0.214,3,A004092|A004155|A007953,Predictable
-3.052,0.969,0.469,1,A007256,Unpredictable
-3.051,0.917,0.406,1,A028861,Unpredictable
-3.05,0.008,0.01,1,A047224,Unpredictable
-3.048,0.075,0.075,1,A031784,Unpredictable
-3.047,0.241,0.106,1,A056951,Predictable
-3.047,0.285,0.132,1,A030640,Predictable
-3.047,0.674,0.269,1,A005811,Predictable
-3.046,0.137,0.102,1,A043618,Unpredictable
-3.046,0.965,0.404,1,A047648,Predictable
-3.044,0.08,0.098,1,A039062,Unpredictable
-3.043,0.424,0.308,1,A045167,Unpredictable
-3.043,0.863,0.32,1,A001485,Predictable
-3.042,0.001,0.001,1,A047232,Unpredictable
-3.041,0.008,0.007,1,A038630,Unpredictable
-3.041,0.052,0.065,1,A043528,Unpredictable
-3.039,0.0,0.0,1,A008365,Predictable
-3.039,0.608,0.292,1,A033264,Predictable
-3.033,0.734,0.289,1,A049113,Predictable
-3.032,0.042,0.084,1,A036160,Unpredictable
-3.032,0.974,0.479,1,A007248,Predictable
-3.031,0.015,0.024,2,A012264|A012265,Unpredictable
-3.031,0.92,0.365,1,A030210,Predictable
-3.03,0.005,0.005,1,A035034,Predictable
-3.03,0.415,0.208,1,A056160,Unpredictable
-3.028,0.005,0.004,1,A035035,Predictable
-3.027,0.377,0.195,1,A037193,Unpredictable
-3.026,0.092,0.155,1,A039312,Unpredictable
-3.025,0.154,0.078,1,A056907,Unpredictable
-3.025,0.186,0.168,1,A043394,Unpredictable
-3.024,0.959,0.407,1,A002288,Predictable
-3.024,0.999,0.517,1,A051379,Predictable
-3.023,0.843,0.314,1,A036269,Unpredictable
-3.022,0.978,0.508,1,A005151,Predictable
-3.021,0.038,0.168,1,A034074,Predictable
-3.021,0.145,0.094,1,A049358,Unpredictable
-3.018,0.954,0.422,1,A030212,Predictable
-3.017,0.869,0.341,1,A034950,Predictable
-3.016,0.144,0.099,1,A031810,Unpredictable
-3.015,0.071,0.08,1,A025526,Unpredictable
-3.015,0.429,0.135,1,A055961,Predictable
-3.014,0.291,0.135,1,A057747,Unpredictable
-3.01,0.048,0.066,1,A011540,Predictable
-3.01,0.965,0.439,1,A037946,Predictable
-3.009,0.052,0.073,1,A043492,Unpredictable
-3.009,0.174,0.179,1,A043336,Unpredictable
-3.008,0.968,0.415,1,A010828,Predictable
-3.007,0.466,0.245,1,A005094,Predictable
-3.006,0.003,0.021,1,A037244,Unpredictable
-3.006,0.006,0.005,1,A031177,Unpredictable
-3.005,0.018,0.021,1,A054282,Unpredictable
-3.005,0.033,0.031,1,A054034,Unpredictable
-3.003,0.602,0.239,1,A034968,Predictable
-3.002,0.94,0.391,1,A007332,Predictable
-3.0,0.191,0.25,1,A038498,Predictable
-3.0,0.998,0.52,2,A008275|A048994,Predictable
-2.999,0.214,0.151,1,A030603,Unpredictable
-2.999,0.35,0.187,1,A039458,Unpredictable
-2.997,0.0,0.0,1,A058189,Predictable
-2.994,0.002,0.002,1,A000414,Predictable
-2.994,0.256,0.152,1,A033925,Predictable
-2.992,0.025,0.069,1,A005707,Unpredictable
-2.991,0.01,0.056,1,A044445,Unpredictable
-2.99,0.977,0.478,2,A007252|A045483,Predictable
-2.989,0.018,0.071,1,A045263,Unpredictable
-2.989,0.17,0.098,1,A031221,Unpredictable
-2.989,0.683,0.286,1,A027615,Predictable
-2.988,0.053,0.1,1,A051806,Predictable
-2.988,0.967,0.461,2,A007258|A045488,Predictable
-2.987,0.01,0.006,1,A036974,Unpredictable
-2.987,0.119,0.137,1,A043607,Unpredictable
-2.986,0.981,0.495,3,A007246|A035099|A045479,Predictable
-2.985,0.214,0.333,1,A047886,Unpredictable
-2.984,0.004,0.014,1,A034098,Unpredictable
-2.984,0.546,0.342,1,A011530,Unpredictable
-2.982,0.002,0.004,1,A002153,Unpredictable
-2.981,0.072,0.071,1,A033285,Unpredictable
-2.98,0.001,0.002,1,A020484,Unpredictable
-2.979,0.035,0.158,1,A021815,Unpredictable
-2.978,0.52,0.21,1,A019570,Unpredictable
-2.978,0.961,0.413,1,A010826,Predictable
-2.977,0.073,0.071,1,A033284,Unpredictable
-2.974,0.209,0.106,1,A043267,Unpredictable
-2.973,0.206,0.154,1,A031803,Unpredictable
-2.971,0.636,0.294,1,A050430,Predictable
-2.97,0.1,0.195,1,A056557,Predictable
-2.97,0.619,0.274,1,A046818,Predictable
-2.969,0.02,0.017,1,A003330,Predictable
-2.968,0.766,0.475,1,A009787,Unpredictable
-2.967,0.014,0.028,1,A030451,Predictable
-2.965,0.982,0.485,1,A003823,Predictable
-2.964,0.117,0.135,1,A045071,Unpredictable
-2.964,0.146,0.333,1,A056529,Unpredictable
-2.963,0.06,0.087,1,A031812,Unpredictable
-2.962,0.001,0.001,1,A003619,Predictable
-2.961,0.229,0.193,1,A031258,Unpredictable
-2.961,0.237,0.179,1,A030376,Unpredictable
-2.961,0.999,0.527,1,A051380,Predictable
-2.96,0.486,0.19,1,A029931,Predictable
-2.959,0.314,0.242,1,A044987,Unpredictable
-2.958,0.614,0.232,1,A002321,Predictable
-2.957,0.009,0.022,1,A025497,Unpredictable
-2.956,0.697,0.286,1,A014420,Predictable
-2.956,0.976,0.438,1,A010836,Predictable
-2.953,0.001,0.001,1,A057716,Predictable
-2.95,0.957,0.406,1,A047640,Predictable
-2.945,0.926,0.473,1,A010113,Unpredictable
-2.943,0.695,0.306,1,A057514,Predictable
-2.94,0.0,0.0,1,A000966,Predictable
-2.938,0.095,0.165,1,A037194,Unpredictable
-2.938,0.117,0.129,1,A045048,Unpredictable
-2.937,0.979,0.456,1,A010839,Predictable
-2.936,0.001,0.011,1,A044007,Unpredictable
-2.936,0.693,0.345,1,A034779,Unpredictable
-2.936,0.997,0.526,1,A049061,Predictable
-2.935,0.001,0.001,1,A050173,Unpredictable
-2.935,0.093,0.12,1,A037994,Unpredictable
-2.934,0.281,0.213,1,A039443,Unpredictable
-2.934,0.668,0.278,1,A004157,Predictable
-2.933,0.968,0.487,1,A058095,Predictable
-2.932,0.033,0.04,1,A007150,Predictable
-2.932,0.039,0.04,1,A004779,Predictable
-2.929,0.038,0.035,1,A033496,Predictable
-2.929,0.065,0.13,1,A052237,Unpredictable
-2.929,0.215,0.138,1,A030330,Unpredictable
-2.928,0.686,0.273,1,A036041,Predictable
-2.925,0.976,0.485,1,A006709,Predictable
-2.924,0.009,0.03,1,A043525,Predictable
-2.924,0.053,0.043,1,A023690,Predictable
-2.923,0.018,0.075,1,A039286,Unpredictable
-2.923,0.42,0.255,1,A025485,Unpredictable
-2.922,0.753,0.317,1,A035531,Predictable
-2.921,0.693,0.273,1,A050311,Unpredictable
-2.92,0.126,0.14,1,A034280,Unpredictable
-2.918,0.026,0.048,1,A039498,Unpredictable
-2.918,0.433,0.155,1,A049604,Predictable
-2.917,0.021,0.018,1,A003062,Unpredictable
-2.917,0.74,0.274,1,A046692,Predictable
-2.916,0.278,0.166,1,A044856,Unpredictable
-2.913,0.003,0.068,1,A039132,Unpredictable
-2.913,0.013,0.009,1,A044645,Unpredictable
-2.911,0.49,0.315,1,A011528,Unpredictable
-2.91,0.954,0.414,1,A047644,Predictable
-2.909,0.001,0.003,1,A000015,Predictable
-2.909,0.118,0.18,1,A059463,Unpredictable
-2.909,0.254,0.131,1,A043522,Unpredictable
-2.908,0.831,0.396,1,A056141,Predictable
-2.908,0.925,0.479,1,A010118,Unpredictable
-2.906,0.573,0.233,1,A004160,Predictable
-2.904,0.081,0.047,1,A034048,Unpredictable
-2.904,0.137,0.211,1,A023988,Unpredictable
-2.903,0.492,0.192,1,A052008,Unpredictable
-2.903,0.999,0.537,1,A051523,Predictable
-2.902,0.562,0.279,1,A050310,Unpredictable
-2.9,0.793,0.364,1,A034436,Predictable
-2.9,0.928,0.393,1,A047642,Predictable
-2.898,0.987,0.505,1,A055101,Predictable
-2.897,0.006,0.009,1,A049511,Predictable
-2.897,0.456,0.222,1,A039387,Unpredictable
-2.896,0.032,0.043,1,A051808,Predictable
-2.895,0.062,0.05,1,A052405,Predictable
-2.894,0.234,0.13,1,A046508,Unpredictable
-2.894,0.311,0.172,1,A039385,Unpredictable
-2.894,0.434,0.219,1,A028947,Unpredictable
-2.893,0.045,0.105,1,A034846,Unpredictable
-2.892,0.461,0.332,1,A033702,Unpredictable
-2.891,0.92,0.461,1,A057382,Unpredictable
-2.889,0.027,0.032,1,A039040,Unpredictable
-2.889,0.054,0.117,1,A036923,Unpredictable
-2.889,0.495,0.157,1,A055951,Predictable
-2.887,0.001,0.003,1,A007918,Predictable
-2.887,0.148,0.09,1,A004481,Unpredictable
-2.887,0.973,0.502,1,A058531,Predictable
-2.884,0.006,0.007,1,A055038,Predictable
-2.884,0.045,0.039,1,A001995,Unpredictable
-2.882,0.618,0.242,1,A052435,Unpredictable
-2.878,0.928,0.487,1,A010110,Unpredictable
-2.876,0.05,0.046,1,A008538,Unpredictable
-2.876,0.683,0.295,1,A014499,Predictable
-2.875,0.02,0.011,1,A025396,Unpredictable
-2.875,0.029,0.026,1,A003995,Predictable
-2.875,0.117,0.066,1,A014085,Predictable
-2.872,0.062,0.071,1,A026834,Predictable
-2.868,0.002,0.002,1,A036785,Unpredictable
-2.868,0.168,0.101,1,A031237,Unpredictable
-2.867,0.026,0.013,1,A004780,Predictable
-2.867,0.394,0.132,1,A002334,Predictable
-2.865,0.582,0.264,1,A039614,Unpredictable
-2.862,0.999,0.542,1,A008276,Predictable
-2.861,0.284,0.195,4,A043574|A043753|A043761|A043770,Unpredictable
-2.861,0.322,0.209,1,A039542,Unpredictable
-2.86,0.022,0.022,1,A035705,Unpredictable
-2.858,0.003,0.003,1,A000408,Predictable
-2.858,0.18,0.205,1,A031514,Unpredictable
-2.858,0.94,0.492,1,A010103,Unpredictable
-2.857,0.039,0.042,1,A004863,Unpredictable
-2.856,0.038,0.068,1,A039280,Unpredictable
-2.855,0.077,0.06,1,A042958,Unpredictable
-2.854,0.001,0.001,1,A057854,Predictable
-2.852,0.061,0.137,1,A039332,Unpredictable
-2.852,0.649,0.338,1,A023516,Predictable
-2.85,0.035,0.106,1,A039322,Unpredictable
-2.85,0.175,0.27,1,A011522,Unpredictable
-2.85,0.686,0.305,1,A046820,Predictable
-2.85,0.962,0.442,1,A010832,Predictable
-2.847,0.096,0.095,1,A039356,Unpredictable
-2.844,0.028,0.034,1,A022416,Unpredictable
-2.844,0.046,0.07,1,A049821,Unpredictable
-2.844,0.989,0.541,1,A056886,Unpredictable
-2.843,0.177,0.25,1,A016385,Unpredictable
-2.842,0.036,0.024,1,A046433,Unpredictable
-2.842,0.235,0.207,1,A039482,Unpredictable
-2.842,0.315,0.234,1,A046398,Unpredictable
-2.841,0.064,0.082,1,A045001,Unpredictable
-2.841,0.305,0.183,1,A044978,Unpredictable
-2.84,0.032,0.051,1,A028782,Unpredictable
-2.837,0.005,0.005,1,A008522,Unpredictable
-2.837,0.3,0.307,1,A027388,Predictable
-2.837,0.691,0.342,1,A008334,Predictable
-2.837,0.924,0.478,1,A057385,Unpredictable
-2.836,0.005,0.008,1,A054311,Unpredictable
-2.836,0.067,0.062,1,A043740,Unpredictable
-2.835,0.995,0.542,1,A004175,Unpredictable
-2.834,0.009,0.008,1,A029742,Unpredictable
-2.834,0.028,0.058,1,A045192,Unpredictable
-2.834,0.907,0.385,1,A001486,Predictable
-2.833,0.027,0.049,1,A046794,Unpredictable
-2.833,0.064,0.091,1,A039063,Unpredictable
-2.831,0.984,0.497,1,A035190,Predictable
-2.83,0.131,0.084,1,A037401,Unpredictable
-2.83,0.414,0.279,1,A011526,Unpredictable
-2.83,0.827,0.394,1,A003785,Predictable
-2.828,0.007,0.007,1,A038687,Predictable
-2.828,0.85,0.427,1,A007207,Predictable
-2.827,0.373,0.196,1,A039335,Unpredictable
-2.826,0.126,0.333,1,A028735,Unpredictable
-2.826,0.127,0.173,1,A004430,Unpredictable
-2.823,0.111,0.199,1,A031667,Unpredictable
-2.823,0.133,0.103,1,A039077,Unpredictable
-2.823,0.465,0.243,1,A055401,Predictable
-2.822,0.735,0.322,1,A050312,Unpredictable
-2.82,0.147,0.25,1,A037899,Unpredictable
-2.82,0.993,0.542,1,A030016,Predictable
-2.819,0.037,0.03,1,A032691,Unpredictable
-2.819,0.347,0.291,1,A055767,Predictable
-2.818,0.016,0.013,1,A025371,Predictable
-2.818,0.227,0.1,1,A048571,Predictable
-2.817,0.005,0.004,1,A025367,Predictable
-2.817,0.073,0.072,1,A043333,Predictable
-2.816,0.215,0.113,1,A043268,Unpredictable
-2.816,0.464,0.163,1,A055169,Unpredictable
-2.815,0.052,0.028,1,A023707,Unpredictable
-2.815,0.206,0.108,1,A011535,Predictable
-2.814,0.047,0.123,1,A037317,Unpredictable
-2.812,0.662,0.316,1,A043475,Unpredictable
-2.81,0.308,0.162,1,A010077,Predictable
-2.808,0.327,0.187,1,A046822,Unpredictable
-2.808,0.327,0.221,1,A046821,Unpredictable
-2.806,0.068,0.073,1,A023708,Unpredictable
-2.806,0.101,0.127,1,A031458,Unpredictable
-2.805,0.892,0.466,1,A058940,Predictable
-2.802,0.226,0.157,1,A030389,Unpredictable
-2.801,0.005,0.005,1,A024409,Unpredictable
-2.798,0.025,0.045,1,A037971,Unpredictable
-2.798,0.067,0.057,1,A004434,Predictable
-2.798,0.691,0.343,1,A024708,Unpredictable
-2.796,0.316,0.199,1,A046824,Unpredictable
-2.795,0.035,0.088,1,A043449,Unpredictable
-2.795,0.967,0.461,1,A010837,Predictable
-2.794,0.258,0.139,1,A043263,Unpredictable
-2.793,0.691,0.382,1,A055734,Predictable
-2.792,0.005,0.042,1,A046505,Unpredictable
-2.791,0.01,0.013,1,A007928,Predictable
-2.79,0.2,0.213,1,A032889,Unpredictable
-2.787,0.185,0.171,1,A034697,Unpredictable
-2.785,0.008,0.016,1,A037917,Unpredictable
-2.785,0.069,0.071,1,A059461,Unpredictable
-2.783,0.045,0.041,1,A008519,Unpredictable
-2.783,0.314,0.173,1,A043423,Unpredictable
-2.782,0.899,0.371,1,A002171,Predictable
-2.782,0.987,0.532,1,A051794,Predictable
-2.781,0.023,0.069,1,A055748,Predictable
-2.781,0.126,0.089,1,A020445,Unpredictable
-2.781,0.696,0.296,1,A050309,Unpredictable
-2.78,0.001,0.001,1,A045762,Predictable
-2.779,0.01,0.009,1,A004432,Predictable
-2.777,0.869,0.37,1,A030187,Predictable
-2.776,0.026,0.02,1,A025400,Predictable
-2.774,0.037,0.069,1,A037400,Unpredictable
-2.773,0.979,0.478,1,A010838,Predictable
-2.772,0.124,0.111,1,A038724,Unpredictable
-2.77,0.044,0.044,1,A022418,Unpredictable
-2.77,0.733,0.321,1,A039961,Predictable
-2.769,0.016,0.013,1,A025372,Predictable
-2.769,0.963,0.49,1,A058511,Predictable
-2.768,0.748,0.304,1,A055566,Unpredictable
-2.767,0.011,0.032,1,A022415,Unpredictable
-2.767,0.408,0.21,1,A059583,Unpredictable
-2.767,0.863,0.417,1,A052308,Unpredictable
-2.766,0.097,0.25,1,A021420,Unpredictable
-2.765,0.105,0.25,1,A021654,Unpredictable
-2.761,0.163,0.333,1,A043556,Predictable
-2.759,0.004,0.003,1,A059485,Predictable
-2.759,0.348,0.186,1,A048933,Unpredictable
-2.757,0.069,0.062,1,A022420,Unpredictable
-2.757,0.712,0.345,1,A050218,Predictable
-2.757,0.968,0.514,1,A058091,Predictable
-2.755,0.034,0.057,1,A004001,Predictable
-2.755,0.594,0.316,1,A036555,Unpredictable
-2.754,0.912,0.46,1,A055135,Unpredictable
-2.752,0.974,0.532,1,A058548,Predictable
-2.751,0.036,0.081,1,A033557,Unpredictable
-2.749,0.127,0.25,1,A021069,Predictable
-2.749,0.237,0.112,1,A043501,Unpredictable
-2.749,0.462,0.198,1,A045893,Unpredictable
-2.748,0.31,0.262,1,A011524,Unpredictable
-2.747,0.017,0.019,1,A053687,Unpredictable
-2.747,0.104,0.25,1,A055639,Unpredictable
-2.746,0.003,0.003,1,A048104,Unpredictable
-2.745,0.45,0.18,1,A058188,Unpredictable
-2.744,0.022,0.018,1,A025060,Unpredictable
-2.744,0.245,0.109,1,A045257,Unpredictable
-2.74,0.001,0.003,1,A020647,Unpredictable
-2.74,0.361,0.123,1,A055963,Predictable
-2.739,0.015,0.044,1,A049008,Predictable
-2.739,0.247,0.308,1,A020998,Unpredictable
-2.737,0.001,0.002,1,A020648,Unpredictable
-2.737,0.089,0.25,1,A044944,Unpredictable
-2.735,0.029,0.054,2,A037985|A044847,Unpredictable
-2.734,0.242,0.246,1,A039534,Unpredictable
-2.733,0.231,0.235,1,A037862,Predictable
-2.733,0.992,0.551,1,A002123,Unpredictable
-2.732,0.032,0.027,1,A025391,Predictable
-2.729,0.871,0.425,1,A048805,Unpredictable
-2.728,0.345,0.333,1,A025146,Unpredictable
-2.727,0.14,0.105,1,A045024,Unpredictable
-2.725,0.303,0.201,1,A045283,Unpredictable
-2.724,0.522,0.249,1,A039423,Unpredictable
-2.723,0.19,0.13,1,A039475,Unpredictable
-2.72,0.117,0.129,1,A039279,Unpredictable
-2.72,0.961,0.451,1,A047646,Predictable
-2.719,0.021,0.056,1,A059094,Unpredictable
-2.719,0.987,0.551,1,A058096,Predictable
-2.716,0.003,0.007,1,A044217,Unpredictable
-2.715,0.119,0.25,1,A021030,Predictable
-2.714,0.0,0.0,1,A013928,Predictable
-2.714,0.243,0.333,1,A037810,Unpredictable
-2.713,0.995,0.563,1,A048998,Predictable
-2.712,0.995,0.564,1,A048999,Predictable
-2.711,0.016,0.02,1,A054277,Unpredictable
-2.711,0.053,0.074,1,A023633,Unpredictable
-2.71,0.079,0.057,1,A037046,Unpredictable
-2.709,0.019,0.016,1,A024796,Predictable
